-,SuffixTrie,-,Automata,-,PatricianTrie,-
Test No,Build,Consult,Build,Consult,Build,Consult
../books/data/data0.in,0.000,0.000,0.0,0.0,0.543,56.223
../books/data/data1.in,0.000,0.000,0.0,0.0,0.538,56.092
../books/data/data2.in,0.000,0.000,0.0,0.0,0.551,62.044
../books/data/data3.in,0.000,0.000,0.0,0.0,0.545,56.177
../books/data/data4.in,0.000,0.000,0.0,0.0,0.561,58.733
